"","cell","Longitude(x)","Latitude(y)","Elaenia_cristata","Psittacanthus_robustus","Qualea_dichotoma","Qualea_grandiflora","Qualea_multiflora","Qualea_parviflora","Salvertia_convallariodora","Tersina_viridis","Thraupis_sayaca","Vochysia_cinnamomea","Vochysia_elliptica","Vochysia_rufa","Vochysia_thyrsoidea","Vochysia_tucanorum","bio1","bio12","bio14","bio15","bio18","bio19","bio2","bio4"
"706","706",-70.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.8114109039307,2211.7294921875,59.2792739868164,48.2496528625488,699.583251953125,198.912231445312,10.4704513549805,59.2180442810059
"707","707",-69.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.8444194793701,2271.6005859375,47.1815872192383,52.7957916259766,736.980163574219,174.209671020508,11.1016826629639,63.574779510498
"708","708",-68.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.8758182525635,2220.47827148438,41.2432823181152,55.4065971374512,705.561767578125,159.038009643555,11.369119644165,67.2264404296875
"709","709",-67.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.2913093566895,2114.50732421875,33.6345329284668,58.5291023254395,556.331848144531,129.286666870117,10.9599237442017,62.5764923095703
"710","710",-66.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.7358283996582,2158.494140625,31.4401702880859,58.0762138366699,529.308776855469,195.479537963867,10.5936737060547,53.854736328125
"711","711",-65.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.0219802856445,2216.48803710938,25.0687141418457,60.0600547790527,531.125854492188,185.555877685547,10.4828758239746,46.4193916320801
"712","712",-64.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.0028438568115,2275.71850585938,26.399169921875,59.1361503601074,535.169067382812,206.535034179688,10.6488494873047,42.4225273132324
"713","713",-63.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.7747974395752,2258.81494140625,19.5769710540771,62.9559898376465,502.866729736328,187.985473632812,10.7814073562622,42.4054870605469
"714","714",-62.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.6194801330566,2229.15869140625,19.1146545410156,63.0847396850586,462.523345947266,202.0625,10.7708368301392,41.2344093322754
"715","715",-61.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.7703800201416,2375.44921875,20.1639747619629,62.8914184570312,411.030639648438,202.445663452148,11.0255270004272,37.593074798584
"716","716",-60.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.8794612884521,2356.31665039062,17.0986747741699,64.4794692993164,350.055541992188,181.285919189453,10.8273305892944,35.2144927978516
"717","717",-59.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.9297542572021,2073.33740234375,12.4556407928467,65.1297073364258,297.522430419922,356.990844726562,10.8383626937866,34.6038551330566
"718","718",-58.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.9243755340576,2060.27905273438,10.6209554672241,66.3422317504883,292.597198486328,836.009338378906,10.8653841018677,34.5463676452637
"719","719",-57.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.1582736968994,2136.88891601562,11.3045930862427,66.1693420410156,306.688079833984,938.652465820312,10.8494901657104,36.1749649047852
"720","720",-56.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.5410480499268,2159.39111328125,12.2629737854004,66.5772094726562,308.947418212891,942.31884765625,10.6535377502441,46.3707962036133
"721","721",-55.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.9080219268799,2175.763671875,10.2626857757568,68.245964050293,280.953247070312,956.292785644531,10.3565673828125,54.1499290466309
"722","722",-54.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.0345726013184,2126.41479492188,10.139422416687,68.2831726074219,309.723480224609,927.439697265625,10.4673595428467,50.4067840576172
"723","723",-53.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.5794334411621,2025.44653320312,11.8399963378906,67.6574401855469,352.832092285156,875.5517578125,11.0416059494019,39.9032707214355
"724","724",-52.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.2818279266357,2006.89868164062,11.2084426879883,67.739631652832,348.513031005859,862.040588378906,11.6314525604248,32.8337783813477
"725","725",-51.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.7921848297119,1983.74645996094,10.5614328384399,67.4472198486328,343.901977539062,842.042602539062,12.032322883606,33.1434669494629
"726","726",-50.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.2651863098145,1937.10693359375,10.9441518783569,67.1258087158203,322.782409667969,818.121765136719,12.174015045166,39.3059234619141
"727","727",-49.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.9057178497314,1871.83764648438,10.7498178482056,68.5512771606445,275.399658203125,805.460327148438,11.9868631362915,48.2187271118164
"728","728",-48.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.6392402648926,1811.98046875,7.9765567779541,70.5845413208008,263.963500976562,813.041015625,11.9128217697144,56.1079063415527
